"","Site1","Site2","rxy","wang","lynchli","lxy","SPDistance","GDistance","NDistance","F1Distance"
"118","ONS","SES",-0.00125834568886238,0.00241105702439639,0.00118987866493645,-0.00116718744666827,486.709202,442.9192481,0.115,0.00497462439073413
"119","ONS","SIL",-0.000934368638845013,-0.00449879820879183,-0.00134473047912515,-0.00154513386067482,32.25655869,31.21838339,0.121,0.00843047880279134
"120","ONS","SIN",-0.00189240945932922,-0.00418645947086124,-0.00283941945736447,-0.0023414281240301,567.9286912,502.7091292,0.146,0.0110405629473854
"121","ONS","VP",-0.00250012289294884,-0.0040790946270677,-0.00334853990698619,-0.00193737036493981,82.59974933,77.39319558,0.116,0.00803403122889429
"122","SALV","SALV",0.00773065972307476,-0.000121973076828254,0.0130981363385128,-0.00250530114746776,0,0,0,0
"123","SALV","SES",0.00725606331930167,0.00278135788852105,0.0117136100903031,-0.00166653452326846,490.0957515,452.5533642,0.108,0.0109587933195843
"124","SALV","SIL",0.00607338950371163,-0.00213566942896114,0.00807407912423481,-0.0012565270816087,43.14120018,42.11793553,0.116,0.00648174242119248
"125","SALV","SIN",0.00748730530096492,8.85616708039831e-05,0.00843803134745428,-5.30261861218126e-05,571.3152408,512.7564579,0.136,0.0103969849753968
"126","SALV","VP",0.00388615504653832,0.00123659602637758,0.00552757739670635,-0.00243051226683304,93.48439082,88.05680241,0.113,0.00410679679890753
"127","SES","SES",0.00319477746197709,0.00448297707850845,0.00771129585168929,0.00112601971009935,0,0,0,0
"128","SES","SIL",-4.54515314344146e-05,-0.00373735101597548,0.00185179610824854,-0.00179137878484307,454.6571,411.8477935,0.138,0.0122584498274099
"129","SES","SIN",0.00729395810095997,0.000890770690420632,0.00752714513521438,-0.00203511219870651,81.21948924,65.10616453,0.144,0.00521707662769775
"130","SES","VP",0.00128380532466969,-8.75164564830197e-05,0.00212713585916405,-0.00243947636073667,412.167751,366.0698521,0.128,0.00786131828260431
"131","SIL","SIL",0.00358699436389277,-0.00409285066730874,0.00320063373732764,-0.000122064186150352,0,0,0,0
"132","SIL","SIN",-0.00580704073673726,-0.0103942266329337,-0.00817548677782358,-0.004923031586468,535.8765892,471.5159508,0.189,0.0135100894929409
"133","SIL","VP",-0.000512864866494682,-0.00425340563805658,-0.00193637839242986,-0.00356362249815586,50.34319064,46.18009591,0.135,0.0134587319604346
"134","SIN","SIN",-0.00251936651587195,-0.00701517445608972,-0.00560746857603924,-0.00216170391876835,0,0,0,0
"135","SIN","VP",0.00129891056042435,-0.00338721062275196,-0.00131806717554173,-0.00176472406689883,493.3872402,425.4449696,0.163,0.00293861012767408
"136","VP","VP",-0.00384192614233517,-0.00357449807394265,-0.00558327701013862,-0.000453509942056372,0,0,0,0
